cell_id,ticker,year,column,value_state,source_class,evidence_level,source_artifact,source_field,source_effective_year,source_retrieved_at,transform_id,upstream_cells,resolution_note
MIATK|2022|ebitda,MIATK,2022,ebitda,present,corrected_yearly_csv,cell_verified,data/trusted_raw/financials/corrected_yearly_financials_candidate.csv,ebitda,2022,,T_COPY,,
MIATK|2022|ebitda_growth_pct,MIATK,2022,ebitda_growth_pct,present,vendor_xlsx,column_asserted,,,,,T_RATIO,,column_asserted_no_cell_source
MIATK|2022|ebitda_margin,MIATK,2022,ebitda_margin,present,corrected_yearly_csv,cell_verified,data/trusted_raw/financials/corrected_yearly_financials_candidate.csv,ebitda_margin,2022,,T_COPY,,
MIATK|2022|enterprise_value,MIATK,2022,enterprise_value,present,derived,cell_verified,data/trusted_raw/financials/free_valuation_history_candidate.csv,enterprise_value,2022,,T_RATIO,,
MIATK|2022|equity,MIATK,2022,equity,present,vendor_xlsx,cell_verified,data/trusted_raw/financials/candidate_from_yearly_snapshots.csv,total_equity,2022,,T_COPY,,
MIATK|2022|ev_ebitda,MIATK,2022,ev_ebitda,present,derived,cell_verified,data/trusted_raw/financials/free_valuation_history_candidate.csv,ev_ebitda,2022,,T_RATIO,,
MIATK|2022|financial_debt_ratio,MIATK,2022,financial_debt_ratio,present,vendor_xlsx,cell_verified,data/trusted_raw/financials/candidate_from_yearly_snapshots.csv,financial_debt_ratio,2022,,T_COPY,,
MIATK|2022|gross_margin,MIATK,2022,gross_margin,present,corrected_yearly_csv,cell_verified,data/trusted_raw/financials/corrected_yearly_financials_candidate.csv,gross_profit_margin,2022,,T_COPY,,
MIATK|2022|gross_profit,MIATK,2022,gross_profit,present,corrected_yearly_csv,cell_verified,data/trusted_raw/financials/corrected_yearly_financials_candidate.csv,gross_profit,2022,,T_COPY,,
MIATK|2022|gross_profit_growth_pct,MIATK,2022,gross_profit_growth_pct,present,vendor_xlsx,column_asserted,,,,,T_RATIO,,column_asserted_no_cell_source
MIATK|2022|leverage_ratio,MIATK,2022,leverage_ratio,present,vendor_xlsx,cell_verified,data/trusted_raw/financials/candidate_from_yearly_snapshots.csv,leverage_ratio,2022,,T_COPY,,
MIATK|2022|long_term_liabilities,MIATK,2022,long_term_liabilities,present,vendor_xlsx,cell_verified,data/trusted_raw/financials/candidate_from_yearly_snapshots.csv,long_term_liabilities,2022,,T_COPY,,
MIATK|2022|market_cap,MIATK,2022,market_cap,present,derived,cell_verified,data/trusted_raw/financials/free_valuation_history_candidate.csv,market_cap,2022,,T_RATIO,,
MIATK|2022|net_debt,MIATK,2022,net_debt,present,vendor_xlsx,cell_verified,data/trusted_raw/financials/candidate_from_yearly_snapshots.csv,net_debt,2022,,T_COPY,,
MIATK|2022|net_debt_to_ebitda,MIATK,2022,net_debt_to_ebitda,present,vendor_xlsx,cell_verified,data/trusted_raw/financials/candidate_from_yearly_snapshots.csv,net_debt_to_ebitda,2022,,T_COPY,,
MIATK|2022|net_income,MIATK,2022,net_income,present,corrected_yearly_csv,cell_verified,data/trusted_raw/financials/corrected_yearly_financials_candidate.csv,net_income,2022,,T_COPY,,
MIATK|2022|net_income_growth_pct,MIATK,2022,net_income_growth_pct,present,vendor_xlsx,column_asserted,,,,,T_RATIO,,column_asserted_no_cell_source
MIATK|2022|net_margin,MIATK,2022,net_margin,present,corrected_yearly_csv,cell_verified,data/trusted_raw/financials/corrected_yearly_financials_candidate.csv,net_profit_margin,2022,,T_COPY,,
MIATK|2022|non_current_assets,MIATK,2022,non_current_assets,present,vendor_xlsx,cell_verified,data/trusted_raw/financials/candidate_from_yearly_snapshots.csv,non_current_assets,2022,,T_COPY,,
MIATK|2022|operating_income,MIATK,2022,operating_income,present,corrected_yearly_csv,cell_verified,data/trusted_raw/financials/corrected_yearly_financials_candidate.csv,operating_income,2022,,T_COPY,,
MIATK|2022|operating_income_growth_pct,MIATK,2022,operating_income_growth_pct,present,vendor_xlsx,column_asserted,,,,,T_RATIO,,column_asserted_no_cell_source
MIATK|2022|pb_ratio,MIATK,2022,pb_ratio,present,derived,cell_verified,data/trusted_raw/financials/free_valuation_history_candidate.csv,pb,2022,,T_RATIO,,
MIATK|2022|pe_ratio,MIATK,2022,pe_ratio,present,derived,cell_verified,data/trusted_raw/financials/free_valuation_history_candidate.csv,pe,2022,,T_RATIO,,
MIATK|2022|price_adjclose_t,MIATK,2022,price_adjclose_t,present,yahoo_fetch,cell_verified,data/trusted_raw/prices/yahoo_year_end_prices.csv,year_end_close,2022,,T_COPY,,
MIATK|2022|price_data_available,MIATK,2022,price_data_available,present,derived,derived_chain,,,,,T_PRICE_WINDOW,MIATK|2022|price_adjclose_t,derived_from_dataset_cells
