ticker,year,revenue,gross_profit,operating_income,ebitda,net_income,gross_profit_margin,ebitda_margin,net_profit_margin,roe,roa
AEFES,2023,159877208000.0,59000175000.0,19564617000.0,27136007000,22128939000,37.6981855898891,16.21718690633272,13.84120931108579,34.27775688863371,8.343437369787782
ARCLK,2023,257103739000.0,75377993000.0,10157657000.0,18872713000,7667336000,29.80078632593055,7.340505071378988,2.98219544757379,14.42044356521689,2.970247992287316
ASELS,2023,73592774000.0,20105180000.0,24973743000.0,28375907000,7290475000,27.31950286314795,38.55800706737865,9.906509299404858,8.350004288690526,4.841663833968713
ASTOR,2023,16914388252.0,6477354074.0,5521999395.0,5836583401,4598326879,38.29493551582689,34.50661835381405,27.18588937708866,37.57167020564707,24.51937708376181
BIMAS,2023,328441924000.0,51682655000.0,3960079000.0,14352418000,15440733000,15.73570583516616,4.369849568899737,4.701206475699491,22.341614767442,10.42357951261967
BRSAN,2023,42175476000.0,7087885000.0,5658261000.0,6658556000,4102619000,16.80570244186456,15.78774356927234,9.727498985429351,16.44424458514048,7.33697639785063
BTCIM,2023,11497513000.0,1641385000.0,709426000.0,1397562000,1833899000,14.27600038373516,12.15534176825893,15.9503972728711,16.58918289523056,9.149153230165712
CANTE,2023,5830921755.0,970422070.0,604546701.0,1402288239,446760950,16.64268722467191,24.04916920378054,7.661926686237964,2.654844748718496,2.515080231456523
CCOLA,2023,101042378000.0,33039733000.0,14474950000.0,18162204000,20579819000,32.69888699571184,17.58139885439455,20.36751253023756,52.38382613507561,18.682094799411
CIMSA,2023,20504515000.0,4029336000.0,3365070000.0,4503397000,2490891000,19.65096955475416,21.96295303741639,12.14801227924679,13.41739240555285,6.489040492290417
DOAS,2023,149244881000.0,32129948000.0,26630904000.0,27846586000,19622080000,21.52834173253822,18.65831900793971,13.14757321559324,47.46624720176582,28.91260748397038
DSTKF,2023,7014794000.0,1068291000.0,10267860592.31579,3169731000,1608215000,45.18637325629234,45.18637325629234,53.68340110914163,44.82459892971745,19.80706458518307
ENKAI,2023,76704889000.0,15876554000.0,12961162000.0,15972601000,16969183000,20.69822954831471,21.68823759350582,23.11927101891463,7.868515240679932,6.127371672857084
EREGL,2023,147899792000.0,14241790000.0,13334560000.0,18707278000,4033089000,9.629350932420513,12.64861684186817,2.726906471917148,2.166097387157705,1.300856928412862
FROTO,2023,411905593000.0,55247910000.0,44016841000.0,50081542000,49055669000,13.41276033608021,12.15850011534075,11.90944474502438,67.19260180574487,22.60556684548683
GUBRF,2023,35541343688.0,3882537559.0,2866933522.0,4107568886,-417275408,10.9240033046665,11.55715698893753,-1.174056365631688,-3.120881316456465,-1.302662037493207
HEKTS,2023,6038995409.0,815592841.0,-1457451886.0,-912001689,-878239047,13.50543899709727,-15.10187750169227,-14.54280037522711,-11.63409894509777,-3.4501176067658
KONTR,2023,3965843464.0,497051106.0,434957118.0,852420633,431000170,12.53330118830933,21.49405645325793,10.86780590087355,15.92010190841057,3.708432899615811
KRDMD,2023,66718974139.0,5185707438.0,1223249120.0,6833798117,-1679514697,7.772462788765722,10.24266066016348,-2.517296943896286,-2.210207121736284,-1.433425974012343
KUYAS,2023,610009683.0,264579869.0,192374211.0,196102689,153019258,43.37306052238518,32.14747150169418,25.08472607311055,12.12010476291703,9.83075365170229
MAVI,2023,26293292000.0,12673601000.0,3448901000.0,5058877000,1783892000,48.20089093446344,18.52316393832699,6.784589772935242,28.28369566613325,12.83578234116826
MGROS,2023,181674337000.0,34002933000.0,-6610061000.0,-409139000,8828696000,18.7164205806349,-0.2252046198467756,4.859627477269946,24.50760067130209,9.582921670860166
MIATK,2023,1401011132.0,713022080.0,607108421.0,723182210,503987968,50.89339147378023,51.6185912789735,35.97315941954985,28.64480024399041,23.17256269971582
OYAKC,2023,30699746814.0,9274105325.0,7710163826.0,9034403041,8127896250,30.20906127072922,29.42826563273168,26.47545043040367,30.48020535141569,22.97567690673497
PASEU,2023,710020359.0,114444658.0,79891463.0,85291972,235746040,16.11850372307423,12.01260934547371,33.20271552945709,21.44526788156622,15.03266006268957
PETKM,2023,60441264000.0,-2328282000.0,-6631059000.0,-2372798000,7389998000,-3.45339747303963,-3.900978176324827,12.22674297479947,14.4511019261525,7.714743653718616
PGSUS,2023,70531531601.0,16818398963.0,13087349012.0,20890526646,20907501797,23.84522011820533,29.61870552333761,29.64277298737062,38.2436674884486,10.35255059831216
SASA,2023,46316693000.0,8705348000.0,6007870000.0,7183521000,18192162000,18.79527106997902,15.50957232633167,39.27776536204776,27.62885777514499,11.98464706072198
SISE,2023,151994022000.0,41938222000.0,15718429000.0,25989649000,17121367000,27.60643852787815,17.09912578009153,11.26450025777988,12.02722239967749,5.879351204820335
