ticker,year,source,retrieved_at,revenue,gross_profit,operating_income,net_income,ebitda,total_assets,current_assets,non_current_assets,short_term_liabilities,long_term_liabilities,equity,working_capital,net_debt,roe,roa,gross_margin,net_margin,ebitda_margin,_bank_warning
ISCTR,2024,yfinance_unofficial,2026-06-10,280669049000.0,,,45536879000.0,,3860698321000.0,,,,,318168856000.0,,157034185000.0,14.3122,1.1795,,16.2244,,Bank ticker: 'revenue' is net interest income; EBITDA undefined; gross_profit unavailable. Ratios not comparable with non-bank companies.
ISCTR,2025,yfinance_unofficial,2026-06-10,423906581000.0,,,67873334000.0,,5389338141000.0,,,,,428060995000.0,,56033048000.0,15.856,1.2594,,16.0114,,Bank ticker: 'revenue' is net interest income; EBITDA undefined; gross_profit unavailable. Ratios not comparable with non-bank companies.
ISGYO,2022,yfinance_unofficial,2026-06-10,1452555820.0,810489968.0,680952184.0,8600904852.0,689190113.0,29662237877.0,3320400440.0,26341837437.0,5766030615.0,14335307.0,23881871955.0,-2445630175.0,3546518906.0,36.0144,28.9961,55.7975,592.1222,47.4467,
ISGYO,2023,yfinance_unofficial,2026-06-10,1650691738.0,1188268342.0,942596632.0,4520884552.0,956011360.0,47868845473.0,5992697387.0,41876148086.0,5315857376.0,3522843315.0,39030144782.0,676840011.0,6155551532.0,11.5831,9.4443,71.9861,273.8782,57.9158,
ISGYO,2024,yfinance_unofficial,2026-06-10,5298337127.0,1798511446.0,1176865724.0,1167598428.0,1204347167.0,62381146591.0,4038085084.0,58343061507.0,6460233566.0,4728859163.0,51192053862.0,-2422148482.0,5027380153.0,2.2808,1.8717,33.9448,22.0371,22.7307,
ISGYO,2025,yfinance_unofficial,2026-06-10,3126656954.0,1637074580.0,1199771903.0,-958319746.0,1228594855.0,58192770367.0,3557221062.0,54635549305.0,2152372194.0,5790225262.0,50250172911.0,1404848868.0,773977943.0,-1.9071,-1.6468,52.3586,-30.65,39.2942,
KCHOL,2021,yfinance_unofficial,2026-06-10,,,,,,,,,,,,,,,,,,,
KCHOL,2022,yfinance_unofficial,2026-06-10,1715942000000.0,404943000000.0,243546000000.0,72662000000.0,269003000000.0,2817316000000.0,1634866000000.0,1182450000000.0,1888144000000.0,319239000000.0,365745000000.0,-253278000000.0,424610000000.0,19.8668,2.5791,23.5989,4.2345,15.6767,
KCHOL,2023,yfinance_unofficial,2026-06-10,2316773000000.0,543799000000.0,301173000000.0,108176000000.0,345370000000.0,4127744000000.0,2472313000000.0,1655431000000.0,2693843000000.0,460395000000.0,586403000000.0,-221530000000.0,451835000000.0,18.4474,2.6207,23.4723,4.6693,14.9074,
KCHOL,2024,yfinance_unofficial,2026-06-10,3033955000000.0,429110000000.0,88789000000.0,1709000000.0,117151000000.0,5115459000000.0,2967964000000.0,2147495000000.0,3409284000000.0,582254000000.0,691939000000.0,-441320000000.0,869489000000.0,0.247,0.0334,14.1436,0.0563,3.8613,
KCHOL,2025,yfinance_unofficial,2026-06-10,2757295000000.0,469354000000.0,104094000000.0,22001000000.0,134594000000.0,5317600000000.0,3016408000000.0,2301192000000.0,3459611000000.0,765416000000.0,677349000000.0,-443203000000.0,1129752000000.0,3.2481,0.4137,17.0223,0.7979,4.8814,
KRVGD,2021,yfinance_unofficial,2026-06-10,,,,,,,,,,,,,,,,,,,
KRVGD,2022,yfinance_unofficial,2026-06-10,8668128000.0,2051462000.0,514223000.0,34577000.0,584602000.0,8100019000.0,4244675000.0,3855344000.0,3627265000.0,644458000.0,3515610000.0,617410000.0,2034637000.0,0.9835,0.4269,23.6667,0.3989,6.7443,
KRVGD,2023,yfinance_unofficial,2026-06-10,11849444000.0,3167416000.0,737696000.0,350751000.0,890148000.0,12667036000.0,6186280000.0,6480756000.0,5064043000.0,1491008000.0,5609325000.0,1122237000.0,3434401000.0,6.253,2.769,26.7305,2.9601,7.5121,
KRVGD,2024,yfinance_unofficial,2026-06-10,14870902000.0,4347240000.0,822080000.0,-116576000.0,1016470000.0,16470465000.0,7599058000.0,8871407000.0,7933970000.0,1371694000.0,6654660000.0,-334912000.0,4969185000.0,-1.7518,-0.7078,29.2332,-0.7839,6.8353,
KRVGD,2025,yfinance_unofficial,2026-06-10,15706465000.0,4529090000.0,867645000.0,-91738000.0,1085262000.0,16545020000.0,7398231000.0,9146789000.0,5733714000.0,3423518000.0,6829767000.0,1664517000.0,4971042000.0,-1.3432,-0.5545,28.8358,-0.5841,6.9097,
LOGO,2022,yfinance_unofficial,2026-06-10,2887365000.0,2281928000.0,704830000.0,318613000.0,748799000.0,4900858000.0,1789379000.0,3111479000.0,1989466000.0,465527000.0,2266731000.0,-200087000.0,,14.0561,6.5012,79.0315,11.0347,25.9336,
LOGO,2023,yfinance_unofficial,2026-06-10,3135800000.0,3013342000.0,418293000.0,202353000.0,456783000.0,7714188000.0,2476160000.0,5238028000.0,3731937000.0,657577000.0,3046595000.0,-1255777000.0,,6.6419,2.6231,96.0948,6.453,14.5667,
LOGO,2024,yfinance_unofficial,2026-06-10,5345712000.0,5155319000.0,1232199000.0,460563000.0,1281186000.0,9511324000.0,5557101000.0,3954223000.0,4890296000.0,821111000.0,3441695000.0,666805000.0,,13.3819,4.8423,96.4384,8.6156,23.9666,
LOGO,2025,yfinance_unofficial,2026-06-10,5800666000.0,5592374000.0,1234058000.0,1500717000.0,1292969000.0,8322175000.0,3106438000.0,5215737000.0,3889831000.0,696558000.0,3735786000.0,-783393000.0,,40.1714,18.0327,96.4092,25.8715,22.29,
MPARK,2021,yfinance_unofficial,2026-06-10,,,,,,,,,,,,,,,,,,,
MPARK,2022,yfinance_unofficial,2026-06-10,18902871000.0,4887336000.0,2822242000.0,4741597000.0,2953785000.0,22616068000.0,6964561000.0,15651507000.0,7968031000.0,4751037000.0,9891660000.0,-1003470000.0,1459070000.0,47.9353,20.9656,25.855,25.084,15.6261,
MPARK,2023,yfinance_unofficial,2026-06-10,32412088000.0,9284107000.0,5932256000.0,6539772000.0,6131066000.0,41025377000.0,12213788000.0,28811589000.0,12830891000.0,9580709000.0,18300053000.0,-617103000.0,1339221000.0,35.7364,15.9408,28.644,20.177,18.916,
